,criterion,learning_rate,loss,max_depth,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,subsample,best_loss
0,1,0.22630468860758615,0,29,0.6515233357666461,70,402,0.004273214267656113,301,0.9886760832322239,0.9421633188402657
1,1,0.07031120611110009,0,13,0.5256233235663467,31,194,0.0075163176369667725,389,0.6434181083823316,0.9270069747679891
2,1,0.17926613137732622,0,87,1.9516350886021225,40,166,0.0010877393866797393,216,0.3956340824858934,0.9557106273407389
3,1,0.17745401730174054,0,49,1.3807370444846732,63,34,0.0010083143531611632,305,0.7184956476148001,0.9279227870262508
4,1,0.09852270831208784,0,90,1.9273601697507239,3,186,0.025291957141006745,220,0.6087960525569804,0.955709042038061
5,1,0.16919354288381971,0,68,0.8133761879998512,115,264,0.020261883982058332,454,0.9383485453463606,0.9331057511468877
6,1,0.40150004258230987,0,66,0.795995856141669,143,228,0.013796597460007921,267,0.8960593468195786,0.9350099908602778
7,1,0.024272466514516144,0,18,0.00845706916645872,65,48,0.00036144545446376367,352,0.7436395685389454,0.925406395337796
8,1,0.12476149238637917,0,56,1.2075534449534897,24,239,0.008186518471864641,240,0.8236628665848172,0.9306069210957557
9,1,0.08830578972322714,0,52,0.40406546857501335,9,344,0.011669967832004293,458,0.6767606609978983,0.927156667768823
10,1,0.04292812160371873,0,40,0.7484508955060151,27,2,0.01191338231086117,371,0.9646088708784488,0.9179071746005429
11,1,0.07683817400055984,0,37,0.1820662422689952,40,172,0.012755565849867192,349,0.8960349656867015,0.9069882071251675
12,1,0.189016019317454,0,49,0.3856952654286675,101,441,0.0008460661081045803,428,0.967932014287722,0.9393310058059745
13,1,0.1793528809921296,0,56,0.4672490411997603,114,179,0.015291775550867604,372,0.9331113274448191,0.922638701701831
14,1,0.22390921577434925,0,74,0.2258989449762357,100,120,5.917125077996993e-05,215,0.7552418532858173,0.9228267029619117
15,1,0.08146902620387642,0,34,0.8451753108487694,56,57,0.024910752591167085,417,0.5484708889970347,0.950070828847011
16,1,0.07885626187806391,0,73,2.3455291705975903,11,126,0.0002787691904726636,250,0.7830215028535603,0.9360378160014236
17,1,0.139382927981126,0,27,1.762817128525421,58,36,0.0012520484624705397,194,0.7141354589654948,0.929075912700345
18,1,0.13895986519797232,0,51,0.002907671948760404,42,163,0.01993833923481731,285,0.6591646004807582,0.9260351210477831
19,1,0.0876510610017418,0,27,0.5528869825237155,121,324,0.009179230877723455,396,0.8252698033181927,0.9309125430155125
20,1,0.0343352464236403,0,21,0.8520118018025542,35,124,0.00014067336865653131,308,0.9745397154403086,0.9109233909707954
21,1,0.14932823724342825,0,50,0.013087492671804441,69,103,0.008720291291651899,240,0.9613824587388413,0.9058153107785147
22,1,0.023444249096763847,0,62,0.19091012033543775,24,153,0.00012437208586953477,309,0.8897767236108062,0.9061000723061295
23,1,0.07601450916545727,0,15,0.009114113114418343,28,171,0.0002846837349194647,283,0.9123787220192084,0.9002042628125269
24,1,0.02574195027421912,0,51,0.69292695204496,12,19,0.010340808826655001,344,0.8960542825312402,0.9057860703243047
25,1,0.11283678870785278,0,58,0.7295735063230677,21,69,0.0006505788566771656,479,0.7850234475851872,0.8978734464454878
26,1,0.040444299589950716,0,51,0.30297575178188074,4,4,0.0005774056088614784,94,0.8442646226998577,0.8543738634089993
27,1,0.06418268393690803,0,70,1.053356013522428,14,55,0.0004197823818560733,175,0.8483875248463675,0.894918882131241
28,1,0.01866843278311195,0,22,0.17573567299541193,11,35,0.0001387596675155634,289,0.972727406440528,0.8704864247994274
29,1,0.06960237973251089,0,68,0.0069877515769833365,12,87,0.00026941655655741276,304,0.979773671955373,0.8942618515802349